Week,W,C,S,N,E,NW,NC,U,Sab,Total
week1,0,19,36,3,10,0,0,0,0,68
week10,120,10,22,4,10,23,11,19,14,233
week11,76,9,18,2,9,0,9,11,11,145
week12,55,20,10,3,7,8,9,3,14,129
week13,41,5,11,9,9,29,5,16,6,131
week14,97,15,21,12,18,23,11,16,24,237
week15,85,22,4,3,4,0,4,4,0,126
week16,34,41,10,7,10,20,5,8,8,143
week17,58,6,35,2,9,14,8,3,24,159
week18,179,22,37,0,21,16,12,11,36,334
week19,40,0,9,1,15,12,10,10,6,103
week2,0,0,0,7,7,3,0,25,7,49
week20,81,24,12,1,16,25,9,3,31,202
week21,80,3,21,1,9,18,8,3,20,163
week22,66,33,16,0,8,5,17,11,9,165
week23,124,10,18,25,5,1,16,2,17,218
week24,106,38,20,20,4,4,10,12,15,229
week25,128,29,20,5,12,32,5,2,21,254
week26,96,31,11,2,7,10,11,12,19,199
week27,106,0,12,15,15,3,8,8,7,174
week28,81,8,10,0,5,28,14,7,12,165
week29,110,28,27,21,9,18,13,8,20,254
week3,0,11,0,8,3,23,36,2,31,114
week30,77,42,15,21,12,0,5,7,27,206
week31,68,0,34,11,23,18,4,13,10,181
week32,79,6,9,1,11,9,8,13,9,145
week33,59,34,12,15,10,20,5,5,19,179
week34,82,9,19,15,11,0,10,4,13,163
week35,83,0,14,5,5,0,5,4,7,123
week36,59,7,10,0,15,6,17,4,3,121
week37,93,41,22,10,8,1,8,8,25,216
week38,76,54,6,9,7,24,4,2,15,197
week39,96,27,8,7,10,39,17,5,14,223
week4,106,11,39,23,16,2,0,3,4,204
week40,101,10,18,4,4,0,3,7,4,151
week41,67,33,7,4,16,0,12,4,27,170
week42,101,17,32,17,23,33,9,5,7,244
week43,70,4,18,9,11,0,9,5,7,133
week44,117,31,5,6,9,6,10,12,34,230
week45,60,1,26,12,0,0,4,8,8,119
week46,107,20,12,5,4,0,10,4,18,180
week47,49,14,11,13,14,40,2,9,5,157
week48,99,15,15,8,24,0,4,10,19,194
week49,94,0,15,1,13,15,11,4,13,166
week5,156,27,11,7,5,0,2,6,12,226
week50,77,22,15,11,11,20,8,7,10,181
week51,77,22,15,11,11,20,8,7,10,181
week52,77,22,15,11,11,20,8,7,10,181
week6,87,25,20,10,15,9,6,8,19,199
week7,58,11,15,4,4,0,0,6,7,105
week8,101,11,31,7,11,7,9,11,20,208
week9,48,22,11,19,21,44,5,7,13,190
,,,,,,,,,,9167
